age_resp,asset_value,bank,base_age,busia,child,child_age,child_female,connected,connected_r,connected_rate,educ,electric_lighting,emi,energy_spending,energyspending,female,fraction_employed_all,gridelec_spending,hhid,hours_worked,housing,iron,kerosene_spending,knowledge_index,life_index,market,metered,mobilephone,moved,nemi,number_appliances,percapcons,population,r_crime_index,radio,reppid,round2,sibs,siteno,solar_shs,st_score_kcpe,st_studenttest,survey,symptoms_index,television,tot_hh_month_earn,transearly,treat_full,treat_low,treat_med,treated_all
58,503.19022,0,57,0,0,,,0,,9.375,0,0,-.057533104,2.4359605,2.4367263,1,0,0,22,74,1.7684222,0,2.4359605,,-1.3680476,0,,1,0,-.17085664,2,155.61276,336,.58609635,0,1102.22,1,0,1102,0,,,01nov2017,.28350979,1,0,0,0,1,0,1
75,199.73837,0,,0,0,,,0,,9.375,,0,-1.3436842,1.2179803,1.4620358,1,0,0,26,16,-.57668519,0,1.2179803,,-.65365559,0,,0,0,-.524297,0,217.22002,336,.58609635,0,1102.26,1,0,1102,0,,,01nov2017,-1.1017835,0,0,0,0,1,0,1
82,937.28217,0,79,0,0,,,0,,9.375,0,0,.056866501,6.4958949,.97469056,0,25,0,28,67,1.6232474,0,2.4359605,,1.8467165,0,,1,0,-.28781745,1,317.75415,336,-.42794371,0,1102.28,1,2,1102,0,,,01nov2017,-2.9488413,0,4.8944764,0,0,1,0,1
51,2118.7183,1,48,0,0,,,0,,9.375,0,0,2.0647054,31.965216,56.775723,0,33.333336,0,30,80,-.57668519,0,4.8719211,,-1.0108516,0,,1,0,-.46920896,4,663.91833,336,.58609635,0,1102.30,1,2,1102,0,,,01nov2017,-.64001912,1,50.397316,0,0,1,0,1
38,1828.3005,0,36,0,0,,,0,,9.375,0,0,-.45064268,1.894636,2.4367263,1,0,0,33,80,-.57668519,0,0,,-1.0108516,0,,1,0,-.21578208,3,46.123859,336,-.31814155,1,1102.33,1,6,1102,0,,,01nov2017,.74527425,0,.84206039,0,0,1,0,1
62,2045.594,0,59,0,0,,,0,,9.375,0,0,-.16158722,28.41954,4.3861074,1,0,0,34,63,-.66418463,0,12.179802,,-1.0108516,0,,1,0,-.2716873,1,198.10313,336,-.31814155,0,1102.34,1,4,1102,0,,,01nov2017,1.2070386,0,0,0,0,1,0,1
53,1813.0885,1,46,0,0,,,0,,9.375,0,0,.41266716,3.6539409,9.503233,0,33.333336,0,35,62,-.57668519,0,2.0299673,,-.29645956,0,,1,0,.48244202,1,171.84349,336,-.31814155,0,1102.35,1,2,1102,1,,,01nov2017,.28350979,0,12.599329,0,0,1,0,1
43,97.60881,0,40,0,0,,,0,,17.910448,0,0,-1.5593556,1.2179803,.97469056,1,0,0,11,20,-.57668519,0,1.2179803,,.060736455,0,,0,0,.73338181,0,11.052043,443,.58609635,0,1103.11,1,2,1103,0,,,16oct2017,.74527425,0,31.574108,0,0,0,0,0
57,1748.0159,1,54,0,0,,,0,,17.910448,0,0,.81698579,2.0299671,17.057085,0,100,0,13,63,-.57668519,0,1.2179803,,.060736455,0,,1,0,-1.0519036,1,276.61685,443,-1.4174433,0,1103.13,1,0,1103,0,,,14oct2017,-.64001912,0,27.472221,0,0,0,0,0
27,2446.0608,0,51,0,0,,,0,,17.910448,0,0,-.72911811,2.841954,13.158321,0,0,0,14,53,-.57668519,0,0,,-1.3680476,0,,1,0,-.262586,2,133.33501,443,.58609635,1,1103.14,1,2,1103,0,,,15oct2017,.28350979,0,0,0,0,0,0,0
42,594.69434,0,39,0,0,,,1,,17.910448,0,1,-.48431459,59.545704,7.7975235,1,0,2.841954,16,36,-.43151027,0,8.1198692,,.060736455,0,,1,0,.46590447,3,253.56544,443,.58609635,0,1103.16,1,2,1103,0,,,14oct2017,1.2070386,1,0,0,0,0,0,0
39,111.46807,0,36,0,0,,,0,,17.910448,0,0,-1.1823649,1.6239737,1.9493811,0,0,0,18,57,-.57668519,0,1.6239737,,-1.0108516,0,,1,0,-.31767416,1,40.0084,443,.58609635,0,1103.18,1,4,1103,0,,,14oct2017,-.17825466,0,0,0,0,0,0,0
36,995.47455,0,33,0,0,,,0,,17.910448,0,0,-.53324968,6.4958949,4.8734527,1,0,0,19,58,1.6232474,0,2.0299673,,-1.0108516,0,,1,0,.33749408,3,140.17149,443,.58609635,0,1103.19,1,4,1103,0,,,14oct2017,.74527425,1,3.1577268,0,0,0,0,0
88,58.703876,0,,0,0,,,0,,17.910448,0,0,-1.9773755,4.0599346,.97469056,1,0,0,21,0,1.6232474,0,4.0599346,,.060736455,0,,0,0,.4901177,0,100.9841,443,.58609635,0,1103.21,1,0,1103,0,,,14oct2017,.28350979,0,0,0,0,0,0,0
66,1062.1804,0,63,0,0,,,0,,17.910448,0,0,-1.0299613,14.20977,6.3354888,1,0,0,23,49,-.57668519,0,8.1198692,,-.65365559,0,,1,0,-1.2897666,1,152.70766,443,-.42794371,0,1103.23,1,3,1103,0,,,14oct2017,-.64001912,0,1.1841475,0,0,0,0,0
28,1011.4622,0,25,0,0,,,0,,17.910448,0,0,-.70716208,2.4359605,3.8987622,1,0,0,24,51,-.57668519,0,2.4359605,,.060736455,0,,1,0,.97664583,1,129.27733,443,.58609635,0,1103.24,1,4,1103,0,,,21oct2017,1.2070386,0,0,0,0,0,0,0
33,1329.8291,0,30,0,0,,,0,,17.910448,0,0,.54582435,4.8719211,2.4367263,1,100,0,25,80,-.57668519,0,0,,-.29645956,0,,1,0,.54520583,3,84.500763,443,.58609635,1,1103.25,1,5,1103,0,,,21oct2017,.74527425,0,3.5186095,0,0,0,0,0
82,576.87531,0,,0,0,,,0,,17.910448,0,0,-.40452883,10.149836,5.8481431,1,0,0,26,35,-.57668519,0,2.0299673,,.060736455,0,,1,0,-.27719429,2,489.38449,443,-1.3321816,1,1103.26,1,1,1103,0,,,14oct2017,.74527425,0,0,0,0,0,0,0
35,3300.022,1,32,0,0,,,1,,17.910448,0,1,2.0031686,3.5998085,34.11417,1,100,3.5998085,30,80,-.57668519,0,0,,-.65365559,0,,1,0,-1.1916625,4,243.01865,443,-.31814155,1,1103.30,1,4,1103,0,,,15oct2017,-1.1017835,1,59.996807,0,0,0,0,0
52,720.02167,0,49,0,0,,,1,,17.910448,0,1,.20576185,16.961504,9.7469053,0,33.333336,3.1577268,31,63,-.57668519,0,5.683908,,.060736455,0,,1,0,.4901177,2,475.30099,443,.58609635,0,1103.31,1,3,1103,0,,,14oct2017,.28350979,1,0,0,0,0,0,0
64,1672.351,0,68,0,0,,,1,,17.910448,0,1,.38461971,11.277596,0,1,0,3.1577268,33,80,1.6232474,0,0,,-1.0108516,0,,1,0,-.62470764,3,134.87102,443,.58609635,1,1103.33,1,5,1103,0,,,15oct2017,-1.1017835,1,0,0,0,0,0,0
