Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
3,19,2,7.55,7,.,7.14,2,7,7.25,0,1,30,7.25
3,19,3,17.24,15,.,15.5,2,15,16,0,1,30,16
3,19,4,12.8,10.8,.,11,2,10.8,11,0,1,30,11
3,19,5,20.08,16.08,.,16.08,2,16.08,17.08,0,1,30,17.08
3,19,6,19.91,16.91,.,17.91,2,16.91,17.91,0,1,30,17.91
3,20,1,4.6,4,.,4,2,4,4,0,1,30,4
3,20,2,5.78,5,.,5.25,2,5,5.5,0,1,30,5.5
3,20,3,12.94,10.94,.,12.5,2,10.94,11.94,0,1,30,11.94
3,20,4,26.27,22.27,.,23.47,2,22.27,23.47,0,1,30,23.47
3,20,5,8.76,7.76,.,7.76,2,7.76,7.76,0,1,30,7.76
3,20,6,25.23,21.23,.,23.23,2,21.23,23.23,0,1,30,23.23
3,21,1,14.86,12.86,.,12.86,2,12.86,14.06,1,1,30,14.06
3,21,2,13.31,11.31,.,11.81,2,11.31,12.31,1,1,30,12.31
3,21,3,6.38,6,.,6,2,6,6,1,1,30,6
3,21,4,15.42,13.42,.,14.42,2,13.42,14,1,1,30,14
3,21,5,9.41,8.41,.,8.41,2,8.41,8.41,1,1,30,8.41
3,21,6,7.21,5.21,.,6.21,2,5.21,6.21,1,1,30,6.21
3,22,1,6.45,6,.,6,1,6,6,1,0,30,6
3,22,2,0.46,0.45,.,0.45,1,0.45,0.45,1,0,30,0.45
3,22,3,25.89,22.89,.,23.89,0,22.89,23.89,1,0,30,23.89
3,22,4,14.09,12.09,.,13.09,0,12.09,13,1,0,30,13
3,22,5,15.02,13.02,.,13.02,0,13.02,14.02,1,0,30,14.02
3,22,6,12.19,11.19,.,11.69,1,11.19,11.69,1,0,30,11.69
3,23,1,18.53,15.53,.,16.53,2,15.53,17.53,1,1,30,17.53
3,23,2,14.49,13.49,.,13.76,2,13.49,13.99,1,1,30,13.99
3,23,3,29.86,22.86,.,23.5,2,22.86,23.86,1,1,30,23.86
3,23,4,23.02,20.02,.,21.42,2,20.02,21.02,1,1,30,21.02
3,23,5,18.46,13.46,.,13.46,2,13.46,15.46,1,1,30,15.46
3,23,6,29.52,24.52,.,25.52,2,24.52,25.52,1,1,30,25.52
3,24,1,13.21,11.21,.,11.21,2,11.21,12.71,1,1,30,12.71
3,24,2,19.82,17.82,.,18.32,2,17.82,18.82,1,1,30,18.82
3,24,3,3.15,3,.,3,2,3,3,1,1,30,3
3,24,4,27.55,22.55,.,24,2,22.55,23.55,1,1,30,23.55
3,24,5,26.59,21.59,.,21.59,2,21.59,23.59,1,1,30,23.59
3,24,6,6.23,5.23,.,5.73,2,5.23,5.73,1,1,30,5.73
3,25,1,12.8,10.8,.,10.8,2,10.8,12.1,0,1,30,12.1
3,25,2,24.26,20.26,.,21.26,2,20.26,22.26,0,1,30,22.26
3,25,3,4.6,4,.,4,2,4,4,0,1,30,4
3,25,4,4.66,3,.,3.66,2,3,3.66,0,1,30,3.66
3,25,5,19.11,15.11,.,15.11,2,15.11,16.11,0,1,30,16.11
3,25,6,29.67,24.67,.,25.67,2,24.67,25.67,0,1,30,25.67
3,26,1,7.97,7.07,.,7.07,2,7.07,7.07,0,1,30,7.07
3,26,2,2.85,2.75,.,2.78,2,2.75,2.8,0,1,30,2.8
3,26,3,15.72,14,.,14.25,2,14,14.5,0,1,30,14.5
3,26,4,19.17,17.17,.,18,2,17.17,18,0,1,30,18
3,26,5,18.44,14.44,.,14.44,2,14.44,16.44,0,1,30,16.44
3,26,6,28.86,23.86,.,25.36,2,23.86,25.36,0,1,30,25.36
3,27,1,5.95,5,.,5,1,5,5,1,0,30,5
3,27,2,11.35,10.35,.,10.55,0,10.35,10.85,1,0,30,10.85
3,27,3,27.44,23,.,24.5,1,23,24.5,1,0,30,24.5
3,27,4,24.88,22,.,22.98,0,22,22.88,1,0,30,22.88
3,27,5,5.95,4.95,.,4.95,1,4.95,4.95,1,0,30,4.95
3,27,6,24.15,22.15,.,22.65,0,22.15,22.65,1,0,30,22.65
3,28,1,25.43,22.43,.,22.43,2,22.43,23.03,1,1,30,23.03
3,28,2,24.21,20.21,.,21.21,2,20.21,22.21,1,1,30,22.21
3,28,3,8.12,8,.,8,2,8,8,1,1,30,8
3,28,4,16.8,14.8,.,15.8,2,14.8,15,1,1,30,15
3,28,5,19.61,15.61,.,15.61,2,15.61,16.61,1,1,30,16.61
3,28,6,0.27,0.07,.,0.17,2,0.07,0.17,1,1,30,0.17
4,5,1,9.26,6.69,.,.,1,6.69,6.93,0,0,30,6.93
4,5,2,4.26,3.7,.,.,0,3.7,3.9,0,0,30,3.9
4,5,3,0.95,0.45,.,.,1,0.45,0.35,0,0,30,0.35
4,5,4,7.14,6,.,.,1,6,6.64,0,0,30,6.64
4,5,5,3.21,3,.,.,0,3,3,0,0,30,3
4,5,6,23.45,21,.,.,0,21,21.45,0,0,30,21.45
4,6,1,21.68,17.83,.,.,2,17.83,17.79,0,1,30,17.79
4,6,2,26.27,23,.,.,2,23,24,0,1,30,24
4,6,3,27.03,22.03,.,.,2,22.03,23.03,0,1,30,23.03
4,6,4,25.07,18.07,.,.,2,18.07,20.57,0,1,30,20.57
4,6,5,10.93,9,.,.,2,9,9,0,1,30,9
4,6,6,6.1,5.5,.,.,2,5.5,5.75,0,1,30,5.75
4,7,1,2.49,1.28,.,.,0,1.28,1.29,0,0,30,1.29
4,7,2,10.71,6,.,.,1,6,7,0,0,30,7
4,7,3,6.33,5,.,.,1,5,5.33,0,0,30,5.33
4,7,4,28.01,20.01,.,.,0,20.01,23.01,0,0,30,23.01
4,7,5,8.04,7.5,.,.,0,7.5,7.5,0,0,30,7.5
4,7,6,1.04,0.9,.,.,1,0.9,0.94,0,0,30,0.94
4,8,1,20.17,17.2,.,.,0,17.2,18.17,0,0,30,18.17
4,8,2,16.51,11.8,.,.,1,11.8,12.5,0,0,30,12.5
4,8,3,17.99,15,.,.,1,15,15,0,0,30,15
4,8,4,12.39,7.39,.,.,0,7.39,10.09,0,0,30,10.09
4,8,5,24.67,20,.,.,0,20,20,0,0,30,20
4,8,6,29.23,25,.,.,1,25,26,0,0,30,26
4,9,1,6.08,4.08,.,3.66,2,4.08,4.06,0,1,30,4.06
4,9,2,18.47,15,.,15.5,2,15,16,0,1,30,16
4,9,3,1.96,1,.,1.25,2,1,1.5,0,1,30,1.5
4,9,4,27.31,19.31,.,22,2,19.31,23.81,0,1,30,23.81
4,9,5,13.15,12,.,12,2,12,12,0,1,30,12
4,9,6,11.73,10.5,.,11,2,10.5,11,0,1,30,11
4,10,1,29.04,24.04,.,23.16,1,24.04,25.04,0,0,30,25.04
4,10,2,27.9,23,.,23.5,1,23,24,0,0,30,24
4,10,3,27.33,22.33,.,22.33,0,22.33,22.33,0,0,30,22.33
