Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
5,17,1,17.38,15.04,.,15.06,2,15.04,15.05,0,1,30,15.05
5,17,2,28.52,23.52,.,23.52,2,23.52,23.52,0,1,30,23.52
5,17,3,17.45,13.45,.,13.45,2,13.45,15.45,0,1,30,15.45
5,17,4,6.84,4.04,.,4.84,2,4.04,5.84,0,1,30,5.84
5,17,5,23.07,20.07,.,20.07,2,20.07,20.07,0,1,30,20.07
5,17,6,21.22,18.02,.,17.52,2,18.02,17.02,0,1,30,17.02
5,18,1,19.14,17.22,.,17.14,2,17.22,17.23,1,1,30,17.23
5,18,2,19.17,17.17,.,18,2,17.17,18,1,1,30,18
5,18,3,17.44,13.44,.,13.44,2,13.44,15.44,1,1,30,15.44
5,18,4,18.22,14.02,.,15.02,2,14.02,16.02,1,1,30,16.02
5,18,5,17.14,15.07,.,15.07,2,15.07,15.07,1,1,30,15.07
5,18,6,3.16,0.01,.,0.01,2,0.01,0.01,1,1,30,0.01
5,19,1,27.68,23.04,.,23.21,2,23.04,23.05,0,1,30,23.05
5,19,2,28.15,23.15,.,23.15,2,23.15,23.15,0,1,30,23.15
5,19,3,14.95,10.95,.,10.95,2,10.95,12.95,0,1,30,12.95
5,19,4,11.66,8.06,.,8.66,2,8.06,10.06,0,1,30,10.06
5,19,5,22.05,20.06,.,20.06,2,20.06,20.06,0,1,30,20.06
5,19,6,12.96,10.06,.,9.56,2,10.06,9.06,0,1,30,9.06
5,20,1,8.56,6.66,.,7.77,0,6.66,6.66,1,0,30,6.66
5,20,2,25.05,21.05,.,21.75,0,21.05,22.05,1,0,30,22.05
5,20,3,21.08,16.08,.,16.08,0,16.08,18.08,1,0,30,18.08
5,20,4,24.15,17.15,.,22.65,1,17.15,23.15,1,0,30,23.15
5,20,5,23.68,20.6,.,21.6,1,20.6,21.6,1,0,30,21.6
5,20,6,7.94,6.04,.,5.05,1,6.04,5.04,1,0,30,5.04
5,21,1,9.66,8.67,.,8.67,2,8.67,8.67,1,1,30,8.67
5,21,2,21.82,19.82,.,19.82,2,19.82,19.82,1,1,30,19.82
5,21,3,29.06,23.06,.,23.06,2,23.06,24.06,1,1,30,24.06
5,21,4,14.26,10.21,.,10.26,2,10.21,13.01,1,1,30,13.01
5,21,5,29.24,24.24,.,24.24,2,24.24,24.24,1,1,30,24.24
5,21,6,27.14,21.14,.,24.14,2,21.14,23.14,1,1,30,23.14
5,22,1,0.24,0.01,.,0.01,0,0.01,0.01,1,0,30,0.01
5,22,2,17.98,15.98,.,15.98,0,15.98,16.98,1,0,30,16.98
5,22,3,7.47,5.47,.,5.47,0,5.47,6.47,1,0,30,6.47
5,22,4,3.41,2.16,.,2.16,1,2.16,3.16,1,0,30,3.16
5,22,5,25.38,22.38,.,23.38,1,22.38,23.38,1,0,30,23.38
5,22,6,20.61,17.61,.,18.01,1,17.61,17.11,1,0,30,17.11
5,23,1,25.8,21.8,.,21.8,0,21.8,21.8,0,0,30,21.8
5,23,2,22.2,19.2,.,19.2,0,19.2,20.2,0,0,30,20.2
5,23,3,23.83,18.83,.,18.83,0,18.83,20.83,0,0,30,20.83
5,23,4,19.83,14.33,.,15.83,1,14.33,17.33,0,0,30,17.33
5,23,5,25.47,22.48,.,22.48,1,22.48,22.48,0,0,30,22.48
5,23,6,19.14,17.14,.,15.14,1,17.14,18.14,0,0,30,18.14
5,24,1,15.78,13.2,.,13.22,2,13.2,13.21,0,1,30,13.21
5,24,2,7.1,6.1,.,6.1,2,6.1,6.1,0,1,30,6.1
5,24,3,27.09,23.09,.,23.09,2,23.09,23.09,0,1,30,23.09
5,24,4,8.89,6.09,.,6.09,2,6.09,7.09,0,1,30,7.09
5,24,5,8.95,8,.,8,2,8,8,0,1,30,8
5,24,6,15.42,11.42,.,11.92,2,11.42,10.42,0,1,30,10.42
